itemlink_URL,itemlink,Precio,itemparking,itemdetail,itemdetail2
https://www.idealista.com/inmueble/106370978/,"
Piso en avenida Hércules, Monte Alto - Zalaeta - Atocha, a Coruña
",285.000€,,2 hab.,100 m²
https://www.idealista.com/inmueble/97221042/,"
Dúplex en calle José Pascual López-Cortón, Someso - Matogrande, a Coruña
",480.000€,Garaje incluido,4 hab.,200 m²
https://www.idealista.com/inmueble/105277913/,"
Piso en calle Ramón de la Sagra, Ensanche, a Coruña
",460.000€,Garaje opc. 30.000 €,3 hab.,124 m²
https://www.idealista.com/inmueble/105967967/,"
Piso en calle Menéndez y Pelayo, Ensanche, a Coruña
",550.000€,Garaje incluido,5 hab.,160 m²
https://www.idealista.com/inmueble/105859017/,"
Piso en calle Ría do Burgo, Someso - Matogrande, a Coruña
",170.000€,,3 hab.,85 m²
https://www.idealista.com/inmueble/105931201/,"
Piso en calle Voluntariado, Ciudad Vieja - Centro, a Coruña
",585.000€,Garaje incluido,3 hab.,106 m²
https://www.idealista.com/inmueble/101900474/,"
Piso en calle San Nicolás, Ciudad Vieja - Centro, a Coruña
",450.000€,,3 hab.,147 m²
https://www.idealista.com/inmueble/105121054/,"
Piso en plaza de María Pita, Ciudad Vieja - Centro, a Coruña
",710.000€,Garaje incluido,3 hab.,150 m²
https://www.idealista.com/inmueble/106084324/,"
Piso en calle María Puga Cerdido, Someso - Matogrande, a Coruña
",255.000€,Garaje incluido,2 hab.,96 m²
https://www.idealista.com/inmueble/105321892/,"
Piso en calle Real, Ciudad Vieja - Centro, a Coruña
",625.000€,,6 hab.,273 m²
https://www.idealista.com/inmueble/105828163/,"
Piso en calle Campo da Estrada, Ciudad Vieja - Centro, a Coruña
",370.000€,Garaje incluido,4 hab.,131 m²
https://www.idealista.com/inmueble/104508880/,"
Piso en calle Julio Rodríguez Yordi, Riazor - Los Rosales, a Coruña
",289.000€,,3 hab.,106 m²
https://www.idealista.com/inmueble/106124487/,"
Casa o chalet independiente en calle París, Elviña - a Zapateira, a Coruña
",830.000€,Garaje incluido,5 hab.,423 m²
https://www.idealista.com/inmueble/106194375/,"
Dúplex en avenida Linares Rivas, Ensanche, a Coruña
",750.000€,Garaje incluido,5 hab.,267 m²
https://www.idealista.com/inmueble/105062514/,"
Piso en calle Costa da Unión, Falperra-Santa Lucía, a Coruña
",205.000€,,1 hab.,44 m²
https://www.idealista.com/inmueble/105195217/,"
Piso en calle Alcalde Abad Conde, Riazor - Los Rosales, a Coruña
",315.000€,,4 hab.,113 m²
https://www.idealista.com/inmueble/106097530/,"
Piso en plaza Varsovia, Elviña - a Zapateira, a Coruña
",250.000€,Garaje incluido,2 hab.,110 m²
https://www.idealista.com/inmueble/106209700/,"
Piso en calle de Zapatería, 25, Ciudad Vieja - Centro, a Coruña
",225.000€,,2 hab.,68 m²
https://www.idealista.com/inmueble/106256346/,"
Piso en calle Luciano Yordi de Carricarte, 5, Someso - Matogrande, a Coruña
",240.000€,Garaje incluido,2 hab.,65 m²
https://www.idealista.com/inmueble/105237408/,"
Piso en plaza Mestre Mateo, Juan Flórez-San Pablo, a Coruña
",395.000€,,5 hab.,144 m²
https://www.idealista.com/inmueble/106195248/,"
Piso en calle Orzán, 37, Monte Alto - Zalaeta - Atocha, a Coruña
",300.000€,,2 hab.,100 m²
https://www.idealista.com/inmueble/105552603/,"
Piso en calle Cordonería, 24, Monte Alto - Zalaeta - Atocha, a Coruña
",230.000€,,1 hab.,56 m²
https://www.idealista.com/inmueble/105276244/,"
Dúplex en calle Sebastián Martínez Risco, Someso - Matogrande, a Coruña
",285.900€,Garaje incluido,3 hab.,122 m²
https://www.idealista.com/inmueble/106029218/,"
Dúplex en calle Sebastián Martínez Risco, Someso - Matogrande, a Coruña
",285.900€,Garaje incluido,3 hab.,109 m²
https://www.idealista.com/inmueble/96527783/,"
Piso en calle Riego de Agua, Ciudad Vieja - Centro, a Coruña
",603.000€,,2 hab.,100 m²
https://www.idealista.com/inmueble/104209153/,"
Ático en calle Magistrado Manuel Artime, 6, Juan Flórez-San Pablo, a Coruña
",450.000€,,3 hab.,104 m²
